Date,Open,High,Low,Close,Underlying Value
2022-12-09,519.5,519.5,519.5,519.5,18496.6
2022-12-21,901.0,901.0,901.0,901.0,18199.1
2022-12-22,577.05,747.3,568.9,643.2,18127.35
2022-12-23,677.6,900.3,677.55,875.75,17806.8
2022-12-26,908.4,915.0,534.2,583.55,18014.6
2022-12-27,500.0,658.3,500.0,523.1,18132.3
2022-12-28,523.1,558.45,494.95,539.0,18122.5
2022-12-29,554.4,600.0,410.0,430.25,18191.0
2022-12-30,389.0,506.8,386.65,463.9,18105.3
2023-01-02,434.9,458.05,390.85,400.0,18197.45
2023-01-03,400.0,400.5,332.1,342.25,18232.55
2023-01-04,334.05,494.25,320.95,458.5,18042.95
