Date,Open,High,Low,Close,Underlying Value
2022-09-21,2615.85,2639.45,2615.85,2639.45,17718.35
2022-09-23,3873.05,3873.05,3859.3,3863.9,17327.35
2022-10-17,3998.35,3998.35,3597.25,3597.25,17311.8
2022-10-18,3084.95,3122.35,3067.0,3067.0,17486.95
2022-10-19,2902.05,2990.0,2790.0,2990.0,17512.25
2022-10-20,3345.8,3362.65,3296.45,3328.0,17563.95
2022-10-21,2909.75,2909.75,2441.95,2675.5,17576.3
2022-10-25,2291.95,2397.75,2153.0,2320.5,17656.35
2022-10-27,2136.05,2279.85,2048.75,2210.8,17736.95
2022-10-28,2140.05,2525.0,2037.8,2453.85,17786.8
2022-10-31,2267.25,2267.25,2136.35,2157.95,18012.2
2022-11-01,2060.55,2199.5,1858.45,2154.25,18145.4
2022-11-03,2463.65,2463.65,2055.3,2140.35,18052.7
2022-11-04,2068.8,2329.0,1971.8,2120.7,18117.15
2022-11-07,2150.85,2150.85,1716.6,1759.8,18202.8
2022-11-09,1678.85,1738.45,1538.55,1670.25,18157.0
2022-11-10,1841.25,2025.0,1804.2,1825.25,18028.2
2022-11-11,1385.3,1502.45,1214.2,1309.5,18349.7
2022-11-14,1360.7,1444.7,1230.0,1342.4,18329.15
2022-11-15,1278.05,1316.1,1034.2,1094.55,18403.4
2022-11-16,1075.2,1135.8,943.2,1000.45,18409.65
2022-11-17,1055.85,1070.0,912.0,1011.85,18343.9
2022-11-18,952.0,1224.05,930.05,1020.6,18307.65
2022-11-21,1154.2,1255.9,1105.45,1144.6,18159.95
2022-11-22,1062.1,1129.25,996.0,1030.9,18244.2
2022-11-23,912.45,955.8,650.0,760.25,18267.25
2022-11-24,717.25,757.25,410.55,452.65,18484.1
