Date,Open,High,Low,Close,Underlying Value
2022-08-26,280.0,290.0,233.9,269.7,17558.9
2022-08-29,178.0,200.0,160.0,188.15,17312.9
2022-08-30,213.0,309.0,196.8,304.35,17759.3
2022-09-01,249.0,290.55,240.0,252.15,17542.8
2022-09-02,260.0,260.0,231.35,240.2,17539.45
2022-09-05,250.0,280.0,237.5,276.15,17665.8
2022-09-06,285.0,292.25,247.0,270.75,17655.6
2022-09-07,234.0,260.2,231.1,250.85,17624.4
2022-09-08,273.05,298.25,272.0,295.15,17798.75
2022-09-09,300.0,325.1,286.3,299.15,17833.35
2022-09-12,311.4,351.85,303.2,331.0,17936.35
2022-09-13,361.0,385.0,353.8,377.6,18070.05
2022-09-14,273.0,392.0,273.0,357.75,18003.75
2022-09-15,300.0,380.0,300.0,323.0,17877.4
2022-09-16,294.35,299.95,227.95,231.8,17530.85
2022-09-19,228.55,257.0,208.55,238.6,17622.25
2022-09-20,278.6,325.05,268.3,281.85,17816.25
2022-09-21,285.9,292.45,250.0,258.3,17718.35
2022-09-22,235.05,254.95,220.0,229.0,17629.8
2022-09-23,220.65,222.0,168.55,171.85,17327.35
2022-09-26,145.0,148.15,111.0,113.55,17016.3
2022-09-27,101.7,128.0,98.85,101.35,17007.4
2022-09-28,85.0,95.0,74.75,78.1,16858.6
2022-09-29,88.5,90.0,62.15,64.7,16818.1
2022-09-30,63.5,99.0,56.15,83.45,17094.35
2022-10-03,76.15,84.75,60.0,61.1,16887.35
2022-10-04,60.95,92.45,60.95,90.5,17274.3
2022-10-06,105.05,110.5,81.0,82.25,17331.8
2022-10-07,77.75,83.1,68.2,76.9,17314.65
2022-10-10,51.9,72.2,49.75,64.45,17241.0
2022-10-11,65.0,65.0,43.9,45.45,16983.55
2022-10-12,47.0,51.0,42.45,50.1,17123.6
2022-10-13,40.75,47.35,38.65,40.5,17014.35
2022-10-14,66.1,66.1,37.2,38.8,17185.7
2022-10-17,33.05,44.75,31.55,39.9,17311.8
2022-10-18,40.95,57.25,40.95,50.4,17486.95
2022-10-19,52.9,57.45,45.0,48.55,17512.25
2022-10-20,39.85,52.0,37.45,49.35,17563.95
2022-10-21,53.05,57.55,43.0,48.4,17576.3
2022-10-25,68.0,75.75,48.05,49.85,17656.35
2022-10-27,65.6,74.55,47.3,54.9,17736.95
2022-10-28,58.45,65.35,45.4,50.05,17786.8
2022-10-31,75.0,99.0,62.95,84.15,18012.2
2022-11-01,97.0,139.75,97.0,133.6,18145.4
2022-11-03,85.9,118.35,74.4,90.75,18052.7
2022-11-04,84.7,114.25,73.0,104.75,18117.15
2022-11-07,121.0,134.4,78.7,106.4,18202.8
2022-11-09,103.8,133.95,76.2,84.2,18157.0
2022-11-10,69.05,69.05,38.05,44.45,18028.2
2022-11-11,108.6,134.0,86.3,125.9,18349.7
2022-11-14,125.9,134.8,88.7,95.25,18329.15
2022-11-15,99.6,133.0,76.7,118.75,18403.4
2022-11-16,125.0,135.2,87.35,111.65,18409.65
2022-11-17,95.0,107.0,54.95,64.15,18343.9
2022-11-18,66.05,73.55,26.6,42.3,18307.65
2022-11-21,28.0,28.0,6.6,8.7,18159.95
2022-11-22,7.5,8.3,4.05,4.95,18244.2
2022-11-23,8.05,8.05,2.1,2.75,18267.25
2022-11-24,2.2,2.7,0.05,0.65,18484.1
