Date,Open,High,Low,Close,Underlying Value
2022-12-09,999.95,999.95,857.5,897.25,18496.6
2022-12-12,938.3,964.7,830.35,854.25,18497.15
2022-12-13,811.35,820.0,770.5,771.5,18608.0
2022-12-14,742.95,754.95,720.0,730.0,18660.3
2022-12-15,705.05,962.95,705.05,929.45,18414.9
2022-12-16,900.0,1070.0,870.15,1045.25,18269.0
2022-12-19,981.8,1030.0,914.2,926.2,18420.45
2022-12-20,976.2,1167.8,940.0,961.7,18385.3
2022-12-21,914.0,1477.5,867.0,1362.75,18199.1
2022-12-22,1299.0,1615.45,1299.0,1469.35,18127.35
2022-12-23,1689.2,1941.9,1650.8,1909.55,17806.8
2022-12-26,1910.0,1910.0,1282.45,1377.6,18014.6
2022-12-27,1306.95,1505.0,1191.65,1267.0,18132.3
2022-12-28,1242.75,1366.0,1210.0,1295.3,18122.5
2022-12-29,1440.0,1447.0,1030.0,1068.1,18191.0
2022-12-30,1030.05,1243.9,997.1,1153.8,18105.3
2023-01-02,1100.0,1172.35,1010.0,1054.15,18197.45
2023-01-03,1030.0,1053.05,916.4,937.8,18232.55
2023-01-04,916.95,1225.6,881.55,1172.4,18042.95
