Date,Open,High,Low,Close,Underlying Value
2022-08-26,150.0,165.0,130.9,140.45,17558.9
2022-08-29,92.15,114.75,87.0,95.55,17312.9
2022-08-30,102.65,160.0,94.1,156.45,17759.3
2022-09-01,125.0,150.0,124.0,131.75,17542.8
2022-09-02,133.95,133.95,117.4,120.8,17539.45
2022-09-05,121.0,140.0,121.0,136.35,17665.8
2022-09-06,144.0,153.05,127.6,136.35,17655.6
2022-09-07,126.5,130.65,114.0,124.4,17624.4
2022-09-08,137.45,150.0,135.05,146.85,17798.75
2022-09-09,165.0,165.0,140.45,147.25,17833.35
2022-09-12,160.0,179.35,142.5,168.05,17936.35
2022-09-13,180.0,194.0,168.05,190.7,18070.05
2022-09-14,150.0,200.5,135.0,184.1,18003.75
2022-09-15,190.65,199.9,165.4,168.6,17877.4
2022-09-16,150.75,151.35,118.55,122.0,17530.85
2022-09-19,122.05,130.9,108.65,118.25,17622.25
2022-09-20,150.0,167.0,132.55,141.05,17816.25
2022-09-21,141.2,150.0,126.25,129.2,17718.35
2022-09-22,114.05,123.0,107.0,111.25,17629.8
2022-09-23,106.75,106.8,82.5,84.75,17327.35
2022-09-26,70.05,77.25,57.45,61.3,17016.3
2022-09-27,59.0,67.9,52.45,54.05,17007.4
2022-09-28,53.0,53.0,41.0,42.6,16858.6
2022-09-29,46.15,47.0,34.2,35.3,16818.1
2022-09-30,35.0,47.75,29.0,41.45,17094.35
2022-10-03,41.7,41.7,29.0,29.85,16887.35
2022-10-04,48.0,48.0,33.5,40.2,17274.3
2022-10-06,48.85,48.85,33.75,34.65,17331.8
2022-10-07,33.65,34.65,28.0,30.3,17314.65
2022-10-10,24.05,29.0,20.75,26.2,17241.0
2022-10-11,25.85,25.85,20.3,20.9,16983.55
2022-10-12,25.0,25.0,19.95,21.8,17123.6
2022-10-13,20.85,20.9,17.0,18.05,17014.35
2022-10-14,22.85,22.9,13.55,14.15,17185.7
2022-10-17,13.65,14.55,11.8,13.8,17311.8
2022-10-18,17.05,17.5,14.0,14.6,17486.95
2022-10-19,15.95,17.0,13.65,14.45,17512.25
2022-10-20,12.1,14.3,11.6,13.85,17563.95
2022-10-21,14.0,15.25,9.75,11.0,17576.3
2022-10-25,15.35,17.15,11.2,11.7,17656.35
2022-10-27,14.95,15.9,12.0,14.5,17736.95
2022-10-28,15.05,15.3,10.0,10.45,17786.8
2022-10-31,15.0,15.25,11.4,14.5,18012.2
2022-11-01,20.0,26.9,15.85,25.35,18145.4
2022-11-03,14.35,20.15,11.95,13.15,18052.7
2022-11-04,13.5,17.35,9.55,15.05,18117.15
2022-11-07,19.15,20.95,10.75,12.65,18202.8
2022-11-09,17.9,17.9,6.55,8.4,18157.0
2022-11-10,6.4,7.05,5.05,6.05,18028.2
2022-11-11,8.6,13.95,8.0,10.85,18349.7
2022-11-14,11.8,11.8,6.05,6.55,18329.15
2022-11-15,6.75,8.1,4.25,6.75,18403.4
2022-11-16,8.0,8.0,4.4,4.9,18409.65
2022-11-17,4.65,4.95,2.6,3.3,18343.9
2022-11-18,2.75,3.3,2.1,2.4,18307.65
2022-11-21,1.95,2.25,1.6,1.9,18159.95
2022-11-22,1.6,1.75,0.7,0.85,18244.2
2022-11-23,1.2,1.25,0.65,0.75,18267.25
2022-11-24,0.55,1.0,0.05,0.1,18484.1
