Date,Open,High,Low,Close,Underlying Value
2021-04-12,962.4,962.4,962.4,962.4,14310.8
2021-04-15,867.9,867.9,867.9,867.9,14581.45
2021-04-19,879.3,879.3,879.3,879.3,14359.45
2021-05-03,858.1,858.1,747.4,747.4,14634.15
2021-07-02,741.0,741.0,741.0,741.0,15722.2
2021-07-14,475.0,508.0,475.0,500.9,15853.95
2021-07-15,489.1,495.0,489.1,495.0,15924.2
2021-07-16,480.0,480.0,480.0,480.0,15923.4
2021-07-22,450.0,450.0,410.0,420.0,15824.05
2021-07-23,501.05,501.05,422.4,422.4,15856.05
2021-07-27,590.0,590.0,590.0,590.0,15746.45
2021-08-05,530.05,530.05,530.0,530.0,16294.6
2021-08-11,650.0,650.0,586.15,598.75,16282.25
2021-08-16,600.0,685.3,600.0,685.3,16563.05
2021-08-17,682.75,682.75,682.75,682.75,16614.6
2021-08-18,744.85,744.9,650.0,650.0,16568.85
2021-08-23,500.0,605.0,500.0,605.0,16496.45
2021-08-24,687.55,687.55,580.0,580.0,16624.6
2021-08-25,650.0,650.0,650.0,650.0,16634.65
2021-08-30,830.0,830.0,830.0,830.0,16931.05
2021-08-31,820.0,910.0,820.0,910.0,17132.2
2021-09-01,916.15,990.0,916.15,940.0,17076.25
2021-09-02,1130.0,1130.0,972.25,980.0,17234.15
2021-09-03,1000.0,1000.0,873.75,1000.0,17323.6
2021-09-06,1065.0,1080.0,1065.0,1080.0,17377.8
2021-09-07,1034.0,1099.95,1034.0,1065.0,17362.1
2021-09-08,1011.0,1030.0,1000.0,1016.75,17353.5
2021-09-09,1020.0,1040.0,1020.0,1030.0,17369.25
2021-09-13,1070.0,1070.0,1055.0,1057.75,17355.3
2021-09-14,1060.0,1147.3,1020.0,1020.0,17380.0
2021-09-15,1050.0,1050.0,1050.0,1050.0,17519.45
2021-09-16,1088.0,1180.0,1088.0,1150.0,17629.5
2021-09-17,1249.5,1299.95,1123.85,1123.85,17585.15
2021-09-20,1180.0,1180.0,1067.0,1084.35,17396.9
2021-09-21,1180.0,1180.0,1143.1,1143.1,17562.0
2021-09-22,1200.0,1248.0,1093.55,1162.0,17546.65
2021-09-23,1250.0,1350.05,1250.0,1350.05,17822.95
2021-09-24,1450.0,1500.0,1353.5,1401.85,17853.2
2021-09-27,1510.0,1510.0,1510.0,1510.0,17855.1
2021-09-28,1364.2,1459.95,1298.0,1459.7,17748.6
2021-09-29,1418.0,1420.0,1369.05,1369.05,17711.3
2021-09-30,1430.0,1430.0,1350.05,1370.0,17618.15
2021-10-01,1300.0,1310.0,1280.0,1280.0,17532.05
2021-10-04,1360.0,1469.6,1343.1,1343.1,17691.25
2021-10-05,1387.75,1450.0,1291.05,1435.3,17822.3
2021-10-06,1360.0,1360.0,1345.1,1350.1,17646.0
2021-10-11,1552.45,1563.65,1456.75,1456.75,17945.95
2021-10-12,1515.3,1552.85,1481.0,1552.85,17991.95
2021-10-13,1650.0,1700.0,1640.0,1640.0,18161.75
2021-10-14,1800.0,1800.0,1720.0,1770.0,18338.55
2021-10-18,1800.05,1958.0,1800.05,1930.25,18477.05
