Date,Open,High,Low,Close,Underlying Value
2022-09-09,500.65,500.65,457.8,465.05,17833.35
2022-09-14,602.95,793.55,600.0,757.0,18003.75
2022-09-15,822.2,863.75,737.0,753.7,17877.4
2022-09-16,691.6,723.65,619.1,643.25,17530.85
2022-09-19,675.0,770.0,650.2,684.45,17622.25
2022-09-20,822.7,906.55,815.0,848.5,17816.25
2022-09-21,823.2,847.8,696.15,738.4,17718.35
2022-09-22,696.0,715.05,503.6,517.8,17629.8
2022-09-23,445.0,445.0,324.65,336.25,17327.35
2022-09-26,269.05,278.35,202.65,215.2,17016.3
2022-09-27,239.05,239.05,152.3,178.05,17007.4
2022-09-28,169.0,169.0,112.0,119.7,16858.6
2022-09-29,163.4,163.4,99.05,99.05,16818.1
2022-09-30,110.0,167.2,106.2,155.25,17094.35
2022-10-03,146.65,146.65,125.0,127.1,16887.35
2022-10-04,177.8,179.05,159.0,168.3,17274.3
2022-10-06,197.85,200.0,164.75,164.95,17331.8
2022-10-07,136.0,146.65,114.3,143.55,17314.65
2022-10-10,100.25,156.15,100.25,135.5,17241.0
2022-10-11,129.3,136.4,115.85,118.6,16983.55
2022-10-12,126.65,128.45,112.0,126.8,17123.6
2022-10-13,123.7,123.7,90.2,91.75,17014.35
2022-10-14,123.9,138.25,108.3,110.9,17185.7
2022-10-17,121.95,126.15,95.0,120.1,17311.8
2022-10-18,155.95,155.95,116.85,127.85,17486.95
2022-10-19,142.4,142.4,105.95,117.05,17512.25
2022-10-20,99.3,99.3,72.2,80.6,17563.95
2022-10-21,90.35,169.6,88.0,123.3,17576.3
2022-10-25,205.05,217.9,149.85,162.95,17656.35
2022-10-27,187.9,218.05,173.0,191.65,17736.95
2022-10-28,181.45,204.5,118.4,127.15,17786.8
2022-10-31,159.95,159.95,122.75,132.3,18012.2
2022-11-01,148.1,186.05,118.1,129.9,18145.4
2022-11-03,85.9,135.8,80.0,106.15,18052.7
2022-11-04,107.55,111.25,64.65,76.95,18117.15
2022-11-07,91.95,114.5,67.35,100.9,18202.8
2022-11-09,113.85,127.7,90.1,100.3,18157.0
2022-11-10,69.95,78.05,50.9,59.35,18028.2
2022-11-11,119.3,140.35,68.65,100.1,18349.7
2022-11-14,95.3,95.3,56.4,59.8,18329.15
2022-11-15,62.45,90.0,46.25,73.7,18403.4
2022-11-16,71.25,97.5,57.25,76.55,18409.65
2022-11-17,61.65,70.8,33.65,41.2,18343.9
2022-11-18,32.7,39.25,19.4,24.8,18307.65
2022-11-21,15.45,15.9,9.4,10.25,18159.95
2022-11-22,9.85,10.2,5.25,6.5,18244.2
2022-11-23,6.7,12.2,2.9,5.05,18267.25
2022-11-24,4.2,14.9,0.05,0.3,18484.1
