Date,Open,High,Low,Close,Underlying Value
2022-11-29,1550.0,1550.0,1510.0,1510.0,18618.05
2022-11-30,1400.0,1586.7,1400.0,1572.25,18758.35
2022-12-01,1665.8,1696.9,1504.65,1555.35,18812.5
2022-12-02,1492.25,1492.25,1404.0,1450.0,18696.1
2022-12-05,1484.55,1560.45,1464.5,1560.45,18701.05
2022-12-06,1532.3,1567.75,1516.45,1530.5,18642.75
2022-12-07,1525.0,1530.25,1419.4,1430.0,18560.5
2022-12-08,1400.55,1620.0,1397.65,1604.4,18609.35
2022-12-09,1422.8,1702.7,1422.8,1599.35,18496.6
2022-12-12,1538.85,1655.0,1496.35,1615.3,18497.15
2022-12-13,1685.95,1732.9,1679.15,1726.6,18608.0
2022-12-14,1768.4,1810.4,1759.0,1768.8,18660.3
2022-12-15,1710.0,1730.3,1364.25,1427.15,18414.9
2022-12-16,1295.95,1429.1,1194.95,1235.5,18269.0
2022-12-19,1235.5,1335.35,1198.4,1319.15,18420.45
2022-12-20,1271.45,1297.9,1129.75,1277.1,18385.3
2022-12-21,1383.15,1410.5,951.55,1025.95,18199.1
2022-12-22,1087.7,1087.7,800.0,824.3,18127.35
2022-12-23,734.25,764.15,529.95,544.55,17806.8
2022-12-26,500.0,961.4,500.0,874.65,18014.6
2022-12-27,938.4,999.75,787.15,958.25,18132.3
2022-12-28,948.0,1058.4,921.55,939.8,18122.5
2022-12-29,849.0,1215.75,771.45,1097.6,18191.0
2022-12-30,1219.6,1223.35,900.1,1005.65,18105.3
2023-01-02,1046.05,1179.9,996.3,1089.45,18197.45
2023-01-03,1127.4,1217.85,1067.85,1190.95,18232.55
2023-01-04,1200.0,1238.3,935.2,979.5,18042.95
