Date,Open,High,Low,Close,Underlying Value
2022-07-01,15767.4,15854.95,15589.85,15825.25,15752.05
2022-07-04,15721.45,15921.95,15721.45,15908.25,15835.35
2022-07-05,15942.7,16082.3,15825.0,15845.95,15810.85
2022-07-06,15845.6,16078.6,15845.6,16051.9,15989.8
2022-07-07,16171.0,16226.15,16113.0,16200.6,16132.9
2022-07-08,16324.9,16324.9,16227.55,16281.9,16220.6
2022-07-11,16201.8,16309.75,16172.1,16262.95,16216.0
2022-07-12,16192.45,16208.65,16095.0,16111.15,16058.3
2022-07-13,16180.2,16199.5,16028.75,16042.95,15966.65
2022-07-14,16049.8,16135.0,15921.75,15991.0,15938.65
2022-07-15,16058.45,16137.75,15991.0,16115.25,16049.2
2022-07-18,16229.15,16365.0,16227.5,16353.5,16278.5
2022-07-19,16308.1,16426.35,16257.4,16418.2,16340.55
2022-07-20,16645.25,16645.25,16545.3,16567.8,16520.85
2022-07-21,16567.8,16665.0,16540.0,16648.15,16605.25
2022-07-22,16699.6,16800.0,16661.55,16771.55,16719.45
2022-07-25,16721.05,16751.7,16617.7,16688.85,16631.0
2022-07-26,16680.6,16680.6,16526.35,16542.1,16483.85
2022-07-27,16519.45,16728.0,16492.75,16715.55,16641.8
2022-07-28,16850.25,17014.6,16806.9,17000.05,16929.6
2022-07-29,17128.9,17275.9,17109.0,17254.7,17158.25
2022-08-01,17326.75,17458.95,17248.45,17441.6,17340.05
2022-08-02,17395.2,17485.05,17306.0,17415.65,17345.45
2022-08-03,17374.15,17490.0,17312.8,17470.7,17388.15
2022-08-04,17528.95,17567.0,17245.5,17455.1,17382.0
2022-08-05,17444.85,17577.15,17435.25,17485.45,17397.5
2022-08-08,17481.65,17647.0,17447.4,17620.4,17525.1
2022-08-10,17641.85,17650.0,17525.05,17626.65,17534.75
2022-08-11,17786.95,17799.95,17726.0,17753.15,17659.0
2022-08-12,17771.65,17819.0,17692.0,17782.15,17698.15
2022-08-16,17884.95,17931.85,17845.4,17919.1,17825.25
2022-08-17,17961.55,18066.5,17939.9,18050.35,17944.25
2022-08-18,18032.15,18086.8,17942.55,18059.75,17956.5
2022-08-19,18057.35,18108.7,17800.0,17843.45,17758.45
2022-08-22,17763.0,17777.55,17555.0,17575.25,17490.7
2022-08-23,17536.0,17723.95,17464.9,17665.55,17577.5
2022-08-24,17731.0,17731.0,17575.0,17699.25,17604.95
2022-08-25,17768.8,17823.85,17536.0,17588.4,17522.45
2022-08-26,17677.3,17765.0,17602.05,17653.75,17558.9
2022-08-29,17290.0,17440.0,17250.05,17370.25,17312.9
2022-08-30,17451.0,17844.75,17442.2,17827.5,17759.3
2022-09-01,17552.0,17734.9,17482.0,17592.4,17542.8
2022-09-02,17592.0,17661.5,17491.35,17562.75,17539.45
2022-09-05,17540.0,17727.55,17540.0,17710.0,17665.8
2022-09-06,17730.0,17788.55,17600.0,17682.95,17655.6
2022-09-07,17543.35,17680.0,17521.25,17651.05,17624.4
2022-09-08,17750.0,17837.75,17695.0,17824.35,17798.75
2022-09-09,17927.1,17949.65,17804.95,17866.45,17833.35
2022-09-12,17900.0,18024.4,17872.1,17964.35,17936.35
2022-09-13,18045.1,18123.35,18032.65,18105.5,18070.05
2022-09-14,17826.65,18110.0,17819.0,18020.4,18003.75
2022-09-15,18045.0,18099.0,17866.5,17891.8,17877.4
2022-09-16,17805.55,17825.0,17526.0,17566.15,17530.85
2022-09-19,17559.9,17690.0,17456.25,17628.0,17622.25
2022-09-20,17775.0,17943.1,17756.0,17825.65,17816.25
2022-09-21,17776.35,17844.35,17664.45,17731.45,17718.35
2022-09-22,17626.0,17747.4,17542.35,17647.6,17629.8
2022-09-23,17587.95,17638.3,17291.15,17335.85,17327.35
2022-09-26,17175.0,17211.85,16981.1,17028.75,17016.3
2022-09-27,17099.85,17174.9,16946.0,17018.65,17007.4
2022-09-28,16863.05,17033.0,16833.7,16858.7,16858.6
2022-09-29,16981.3,17042.95,16786.05,16814.0,16818.1
