Date,Open,High,Low,Close,Underlying Value
2022-09-14,1863.65,1863.65,1863.65,1863.65,18003.75
2022-09-15,1732.2,1980.75,1732.2,1900.6,17877.4
2022-09-16,2094.5,2415.1,2094.5,2415.1,17530.85
2022-09-19,2205.5,2313.2,2141.25,2313.2,17622.25
2022-09-20,1885.75,1885.75,1813.95,1873.95,17816.25
2022-09-21,2201.0,2201.0,2030.15,2032.95,17718.35
2022-09-22,2057.75,2200.0,2057.75,2133.7,17629.8
2022-09-23,2800.0,3050.15,2800.0,3001.15,17327.35
2022-09-26,3599.95,3822.95,3599.9,3683.9,17016.3
2022-09-30,4901.0,4901.0,4505.5,4622.75,17094.35
2022-10-07,3306.55,3493.0,3256.85,3256.85,17314.65
2022-10-12,3647.0,3647.0,3300.0,3300.0,17123.6
2022-10-13,3420.5,3873.1,3420.5,3816.5,17014.35
2022-10-14,3071.7,3107.15,2975.0,2975.0,17185.7
2022-10-17,3114.4,3114.4,2527.9,2613.2,17311.8
2022-10-18,2287.85,2385.05,2136.0,2217.25,17486.95
2022-10-19,2088.05,2288.0,1985.0,2193.15,17512.25
2022-10-20,2388.55,2555.65,2259.85,2298.2,17563.95
2022-10-21,2078.5,2078.5,1705.7,1829.35,17576.3
2022-10-25,1416.95,1650.45,1390.0,1579.25,17656.35
2022-10-27,1428.4,1510.0,1350.0,1444.3,17736.95
2022-10-28,1462.05,1760.45,1333.0,1657.45,17786.8
2022-10-31,1476.0,1534.0,1375.0,1391.9,18012.2
2022-11-01,1244.0,1464.85,1144.3,1371.25,18145.4
2022-11-03,1648.05,1660.0,1293.4,1350.45,18052.7
2022-11-04,1272.95,1500.0,1204.0,1347.85,18117.15
2022-11-07,1067.95,1250.0,965.45,992.15,18202.8
2022-11-09,839.95,984.3,829.9,915.4,18157.0
2022-11-10,1060.5,1239.65,951.45,1018.1,18028.2
2022-11-11,684.25,757.95,570.4,616.9,18349.7
2022-11-14,609.65,695.55,535.65,611.7,18329.15
2022-11-15,550.0,570.0,393.75,420.1,18403.4
2022-11-16,401.0,450.0,340.0,365.1,18409.65
2022-11-17,403.85,416.9,280.0,324.5,18343.9
2022-11-18,301.95,414.0,262.0,282.7,18307.65
2022-11-21,334.95,380.0,280.0,300.6,18159.95
2022-11-22,244.65,257.0,150.0,174.4,18244.2
2022-11-23,90.0,118.5,32.5,46.4,18267.25
2022-11-24,24.9,25.0,0.1,0.5,18484.1
