Date,Open,High,Low,Close,Underlying Value
2022-11-25,379.0,399.0,365.8,387.05,18512.75
2022-11-28,384.45,442.25,375.0,404.85,18562.75
2022-11-29,417.0,444.3,410.8,418.3,18618.05
2022-11-30,428.0,502.75,413.75,485.9,18758.35
2022-12-01,559.55,559.55,502.15,525.2,18812.5
2022-12-02,503.7,505.4,422.9,445.85,18696.1
2022-12-05,446.85,470.0,397.3,451.1,18701.05
2022-12-06,420.05,445.8,400.0,436.7,18642.75
2022-12-07,420.0,436.0,385.05,392.45,18560.5
2022-12-08,386.55,411.5,372.0,400.2,18609.35
2022-12-09,404.3,417.0,319.0,334.6,18496.6
2022-12-12,300.95,352.0,292.0,335.8,18497.15
2022-12-13,336.7,369.0,327.75,363.65,18608.0
2022-12-14,374.0,409.05,373.95,388.65,18660.3
2022-12-15,375.55,375.55,270.4,281.85,18414.9
2022-12-16,266.0,276.85,217.05,223.4,18269.0
2022-12-19,223.4,276.45,213.0,269.3,18420.45
2022-12-20,229.95,249.0,201.1,242.3,18385.3
2022-12-21,258.55,265.0,205.3,213.45,18199.1
2022-12-22,215.65,227.3,171.35,179.05,18127.35
2022-12-23,149.05,170.0,96.0,100.2,17806.8
2022-12-26,104.15,148.0,96.25,136.2,18014.6
2022-12-27,137.4,148.75,120.6,144.75,18132.3
2022-12-28,143.0,157.25,130.95,142.15,18122.5
2022-12-29,140.7,154.15,113.0,147.3,18191.0
2022-12-30,160.05,170.0,126.95,131.85,18105.3
2023-01-02,127.0,137.45,117.7,133.05,18197.45
2023-01-03,127.9,142.0,118.6,138.2,18232.55
2023-01-04,131.05,131.65,96.15,99.4,18042.95
